atleta,selecao,confederacao,registro_inicio,registro_fim,janela_estimada,assigned_fifa,base_do_calculo,janelas_alcancadas,maximo_possivel,diagnostico,acao
Thiago Almada,Argentina,CONMEBOL,2024-04-01,2025-01-31,S,9,partidas reais do universo,,6,"IMPOSSIVEL: FIFA atribuiu 9, cabem no máximo 6. Excedente de 3 [janela ESTIMADA — confirmar no TMS]","REJEITAR 3 partida(s), jogo a jogo"
Vitinho,Brasil,CONMEBOL,2024-08-01,(ainda no elenco),S,2,partidas reais do universo,,12,2 de 12 possíveis — sobra espaço para até 10 [janela ESTIMADA — confirmar no TMS],conferir se FALTA partida (risco inverso)
Lucas Perri,Brasil,CONMEBOL,2023-01-01,2023-12-31,S,6,partidas reais do universo,,6,no teto: 6 de 6 possíveis [janela ESTIMADA — confirmar no TMS],aceitar; nada a reivindicar
Adryelson,Brasil,CONMEBOL,2023-01-01,2023-12-31,S,1,partidas reais do universo,,6,1 de 6 possíveis — sobra espaço para até 5 [janela ESTIMADA — confirmar no TMS],conferir se FALTA partida (risco inverso)
Cristhian Loor,Equador,CONMEBOL,2025-06-01,(ainda no elenco),S,1,partidas reais do universo,,4,1 de 4 possíveis — sobra espaço para até 3 [janela ESTIMADA — confirmar no TMS],conferir se FALTA partida (risco inverso)
Jacob Montes,Nicaragua,CONCACAF,,(ainda no elenco),N,2,,,NAO SEI,sem janela de registro no CSV,obter janela no TMS antes de qualquer conta
Luiz Henrique,Brasil,CONMEBOL,2024-01-01,2025-07-31,S,8,partidas reais do universo,,10,8 de 10 possíveis — sobra espaço para até 2 [janela ESTIMADA — confirmar no TMS],conferir se FALTA partida (risco inverso)
Jefferson Savarino,Venezuela,CONMEBOL,2024-01-01,(ainda no elenco),S,10,partidas reais do universo,,12,10 de 12 possíveis — sobra espaço para até 2 [janela ESTIMADA — confirmar no TMS],conferir se FALTA partida (risco inverso)
Igor Jesus,Brasil,CONMEBOL,2024-07-01,2025-08-31,S,,partidas reais do universo,,10,fora da lista da FIFA; caberiam até 10 partidas na janela [janela ESTIMADA — confirmar no TMS],candidato a CLAIM — conferir convocação e súmula
Alex Telles,Brasil,CONMEBOL,2024-01-01,(ainda no elenco),S,,partidas reais do universo,,12,fora da lista da FIFA; caberiam até 12 partidas na janela [janela ESTIMADA — confirmar no TMS],candidato a CLAIM — conferir convocação e súmula
