temporada,nome,nome_completo,nascimento,posicao,nacionalidade,no_clube_desde,selecao_com_eliminatorias,fonte,lacunas
2024,Gatito Fernandez,,1988-03-29,Goleiros,Paraguai,2016,Paraguai,"planilha mestre, aba '6. Elenco 2024' (Fogo na Rede)",sem nome completo
2024,John,,,Goleiros,Brasil,2024,Brasil,"planilha mestre, aba '6. Elenco 2024' (Fogo na Rede)",sem data de nascimento; sem nome completo; IDENTIDADE NAO CONFIRMADA
2024,Lucas Barreto,,,Goleiros,Brasil,2020,Brasil,"planilha mestre, aba '6. Elenco 2024' (Fogo na Rede)",sem data de nascimento; sem nome completo; IDENTIDADE NAO CONFIRMADA
2024,Raul,,,Goleiros,Brasil,2024,Brasil,"planilha mestre, aba '6. Elenco 2024' (Fogo na Rede)",sem data de nascimento; sem nome completo; IDENTIDADE NAO CONFIRMADA
2024,Alexander Barboza,,1995-05-16,Zagueiros,Argentina,2024,Argentina,"planilha mestre, aba '6. Elenco 2024' (Fogo na Rede)",sem nome completo
2024,Bastos,,1991-11-23,Zagueiros,Angola,2023,Angola,"planilha mestre, aba '6. Elenco 2024' (Fogo na Rede)",sem nome completo
2024,Lucas Halter,,,Zagueiros,Brasil,2024,Brasil,"planilha mestre, aba '6. Elenco 2024' (Fogo na Rede)",sem data de nascimento; sem nome completo; IDENTIDADE NAO CONFIRMADA
2024,Luis Segovia,,1997-10-26,Zagueiros,Equador,2023,Equador,"planilha mestre, aba '6. Elenco 2024' (Fogo na Rede)",sem nome completo
2024,Pablo,,,Zagueiros,Brasil,2024,Brasil,"planilha mestre, aba '6. Elenco 2024' (Fogo na Rede)",sem data de nascimento; sem nome completo; IDENTIDADE NAO CONFIRMADA
2024,Jefferson Maciel,,,Zagueiros,Brasil,2023,Brasil,"planilha mestre, aba '6. Elenco 2024' (Fogo na Rede)",sem data de nascimento; sem nome completo; IDENTIDADE NAO CONFIRMADA
2024,Damian Suarez,,1988-04-27,Laterais,Uruguai,2024,Uruguai,"planilha mestre, aba '6. Elenco 2024' (Fogo na Rede)",sem nome completo
2024,Cuiabano,,,Laterais,Brasil,2024,Brasil,"planilha mestre, aba '6. Elenco 2024' (Fogo na Rede)",sem data de nascimento; sem nome completo; IDENTIDADE NAO CONFIRMADA
2024,Hugo,,,Laterais,Brasil,2019,Brasil,"planilha mestre, aba '6. Elenco 2024' (Fogo na Rede)",sem data de nascimento; sem nome completo; IDENTIDADE NAO CONFIRMADA
2024,Mateo Ponte,,2003-05-24,Laterais,Uruguai,2023,Uruguai,"planilha mestre, aba '6. Elenco 2024' (Fogo na Rede)",sem nome completo
2024,Marcal,,,Laterais,Brasil,2022,Brasil,"planilha mestre, aba '6. Elenco 2024' (Fogo na Rede)",sem data de nascimento; sem nome completo; IDENTIDADE NAO CONFIRMADA
2024,Rafael,,,Laterais,Brasil,2022,Brasil,"planilha mestre, aba '6. Elenco 2024' (Fogo na Rede)",sem data de nascimento; sem nome completo; IDENTIDADE NAO CONFIRMADA
2024,Danilo Barbosa,,,Volantes,Brasil,2022,Brasil,"planilha mestre, aba '6. Elenco 2024' (Fogo na Rede)",sem data de nascimento; sem nome completo; IDENTIDADE NAO CONFIRMADA
2024,Gregore,,,Volantes,Brasil,2024,Brasil,"planilha mestre, aba '6. Elenco 2024' (Fogo na Rede)",sem data de nascimento; sem nome completo; IDENTIDADE NAO CONFIRMADA
2024,Marlon Freitas,,,Volantes,Brasil,2023,Brasil,"planilha mestre, aba '6. Elenco 2024' (Fogo na Rede)",sem data de nascimento; sem nome completo; IDENTIDADE NAO CONFIRMADA
2024,Patrick de Paula,,,Volantes,Brasil,2022,Brasil,"planilha mestre, aba '6. Elenco 2024' (Fogo na Rede)",sem data de nascimento; sem nome completo; IDENTIDADE NAO CONFIRMADA
2024,Tche Tche,,,Volantes,Brasil,2022,Brasil,"planilha mestre, aba '6. Elenco 2024' (Fogo na Rede)",sem data de nascimento; sem nome completo; IDENTIDADE NAO CONFIRMADA
2024,Allan,,,Volantes,Brasil,2024,Brasil,"planilha mestre, aba '6. Elenco 2024' (Fogo na Rede)",sem data de nascimento; sem nome completo; IDENTIDADE NAO CONFIRMADA
2024,Diego Hernandez,,2000-06-22,Meias,Uruguai,2023,Uruguai,"planilha mestre, aba '6. Elenco 2024' (Fogo na Rede)",sem nome completo
2024,Eduardo,,,Meias,Brasil,2022,Brasil,"planilha mestre, aba '6. Elenco 2024' (Fogo na Rede)",sem data de nascimento; sem nome completo; IDENTIDADE NAO CONFIRMADA
2024,Mohamed El Arouch,,,Meias,Franca/Marrocos,2024,Marrocos,"planilha mestre, aba '6. Elenco 2024' (Fogo na Rede)",sem data de nascimento; sem nome completo; IDENTIDADE NAO CONFIRMADA
2024,Oscar Romero,,1997-07-04,Meias,Paraguai,2024,Paraguai,"planilha mestre, aba '6. Elenco 2024' (Fogo na Rede)",sem nome completo
2024,Thiago Almada,,1997-04-26,Meias,Argentina,2024,Argentina,"planilha mestre, aba '6. Elenco 2024' (Fogo na Rede)",sem nome completo
2024,Luiz Henrique,,2001-01-02,Atacantes,Brasil,2024,Brasil,"planilha mestre, aba '6. Elenco 2024' (Fogo na Rede)",sem nome completo
2024,Junior Santos,,,Atacantes,Brasil,2023,Brasil,"planilha mestre, aba '6. Elenco 2024' (Fogo na Rede)",sem data de nascimento; sem nome completo; IDENTIDADE NAO CONFIRMADA
2024,Jeffinho,,,Atacantes,Brasil,2024,Brasil,"planilha mestre, aba '6. Elenco 2024' (Fogo na Rede)",sem data de nascimento; sem nome completo; IDENTIDADE NAO CONFIRMADA
2024,Matheus Nascimento,,,Atacantes,Brasil,2013,Brasil,"planilha mestre, aba '6. Elenco 2024' (Fogo na Rede)",sem data de nascimento; sem nome completo; IDENTIDADE NAO CONFIRMADA
