temporada_saison_id,temporada,tm_id,numero,nome,posicao,nacionalidade,nacionalidade_2,idade_na_temporada,clube_atual,valor_mercado,fonte
2021,2021/22,107318,1,Roberto Fernández,,Paraguai,,32,Club Cerro Porteño,€ 1.50 mi.,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,352041,-,Lucas Perri,,Brasil,Itália,23,Leeds United FC,€ 250 mil,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,503218,12,Diego Loureiro,,Brasil,,22,Boavista SC,€ 50 mil,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,698750,52,Igo Gabriel,,Brasil,,19,Figueirense FC,€ 50 mil,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,101667,22,Douglas Borges,,Brasil,Itália,30,Apotheos FC,-,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,104326,15,Victor Cuesta,,Argentina,Brasil,32,Club Atlético Platense,€ 4.00 mi.,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,373433,-,Adryelson,,Brasil,,22,Al-Wasl SC,€ 1.00 mi.,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,524446,4,Kanu,,Brasil,,23,EC Bahia,€ 800 mil,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,87323,3,Joel Carli,,Argentina,,34,Fim de carreira,€ 675 mil,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,336697,94,Philipe Sampaio,,Brasil,,26,Athletic Club,€ 600 mil,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,484599,44,William Klaus,,Brasil,,26,Operário FEC,€ 500 mil,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,876675,-,Ewerton,,Brasil,,19,EC União Suzano,-,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,990532,33,Reydson,,Brasil,,18,São Cristóvão FR,-,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,996691,38,Kawan,,Brasil,,17,EC XV de Piracicaba,-,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,868357,40,Lucas Mezenga,,Brasil,,19,Al-Orooba FC,-,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,137745,-,Marçal,Esq.,Brasil,,31,Botafogo FR,€ 2.40 mi.,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,579346,-,Jonathan Vieira,Esq.,Brasil,,22,Sem clube,€ 700 mil,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,55243,30,Carlinhos,Esq.,Brasil,,34,Fim de carreira,€ 500 mil,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,351546,19,Niko Hämäläinen,Esq.,Finlândia,Estados Unidos,23,New Mexico United,€ 300 mil,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,973499,-,Douglas Teixeira,Esq.,Brasil,,19,Avaí FC,-,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,740157,16,Hugo,Esq.,Brasil,Emirados Árabes Unidos,19,Al-Wasl SC,-,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,61892,7,Rafael,Dir.,Brasil,Portugal,30,Fim de carreira,€ 4.40 mi.,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,268642,2,Renzo Saravia,Dir.,Argentina,,27,Sem clube,€ 3.20 mi.,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,276877,20,Daniel Borges,Dir.,Brasil,,27,Mirassol FC,€ 475 mil,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,815670,48,Vitor Marinho,Dir.,Brasil,,19,Brasiliense FC,-,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,167291,-,Gabriel Pires,,Brasil,Portugal,27,Mirassol FC,€ 12.00 mi.,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,737821,8,Patrick de Paula,,Brasil,,21,Sem clube,€ 9.00 mi.,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,273438,-,Danilo Barbosa,,Brasil,,24,Al-Ula FC,€ 6.50 mi.,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,348262,5,Gustavo Barreto,,Brasil,Itália,25,Sem clube,€ 700 mil,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,697400,35,Breno,,Brasil,,20,Figueirense FC,€ 650 mil,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,210548,-,Fabinho,,Brasil,,34,Santa Cruz FC,€ 550 mil,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,555277,55,Luís Oyama,,Brasil,Japão,23,Grêmio Novorizontino,-,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,813037,62,Kayque,,Brasil,,20,Sem clube,-,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,364261,6,Tchê Tchê,Central,Brasil,,28,CR Vasco da Gama,€ 4.50 mi.,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,742023,23,Romildo Del Piage,Central,Brasil,Itália,20,Avaí FC,€ 25 mil,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,691316,-,Luis Henrique,,Brasil,,19,Inter de Milão,€ 8.00 mi.,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,992533,-,Jefinho,,Brasil,,18,Sem clube,-,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,110078,-,Eduardo,Ofensivo,Brasil,,31,Mirassol FC,€ 3.00 mi.,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,430761,18,Lucas Fernandes,Ofensivo,Brasil,,23,São Bernardo FC,€ 2.00 mi.,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,176485,43,Lucas Piazón,Ofensivo,Brasil,Itália,26,Wieczysta Krakow,€ 900 mil,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,497494,-,Jacob Montes,Ofensivo,Nicarágua,Estados Unidos,22,RWDM Brussels,€ 75 mil,pagina de elenco salva do navegador — elenco_2022.html
2021,2021/22,766381,14,Chay,Ofensivo,Brasil,,30,Sem clube,-,pagina de elenco salva do navegador — elenco_2022.html
