partida_id,data,selecao,adversario,confederacao,rodada,resultado,n_atletas,atletas,url_fifa,status_coleta
2024-11-19|brasil|uruguai,2024-11-19,Brasil,Uruguai,CONMEBOL,12,1:1,7,Alex Telles; Damian Suarez; Diego Hernandez; Igor Jesus; Luiz Henrique; Mateo Ponte; Vitinho,,A COLETAR
2025-03-21|argentina|uruguai,2025-03-21,Argentina,Uruguai,CONMEBOL,13,0:1,7,Alexander Barboza; Alvaro Montoro; Damian Suarez; Diego Hernandez; Mastriani; Mateo Ponte; Santi Rodriguez,,A COLETAR
2025-03-25|argentina|brasil,2025-03-25,Argentina,Brasil,CONMEBOL,14,1:4,7,Alex Telles; Alexander Barboza; Alvaro Montoro; Danilo Santos; Igor Jesus; Luiz Henrique; Vitinho,,A COLETAR
2024-09-10|brasil|paraguai,2024-09-10,Brasil,Paraguai,CONMEBOL,8,1:0,6,Alex Telles; Gatito Fernandez; Igor Jesus; Luiz Henrique; Oscar Romero; Vitinho,,A COLETAR
2025-03-20|brasil|colombia,2025-03-20,Brasil,Colombia,CONMEBOL,13,1:2,6,Alex Telles; Danilo Santos; Igor Jesus; Jordan Barrera; Luiz Henrique; Vitinho,,A COLETAR
2025-03-25|bolivia|uruguai,2025-03-25,Bolivia,Uruguai,CONMEBOL,14,0:0,6,Damian Suarez; Diego Hernandez; Mastriani; Mateo Ponte; Santi Rodriguez; Sebastian Joffre,,A COLETAR
2025-06-05|brasil|equador,2025-06-05,Brasil,Equador,CONMEBOL,15,0:0,6,Alex Telles; Cristhian Loor; Danilo Santos; Igor Jesus; Luiz Henrique; Vitinho,,A COLETAR
2025-06-10|uruguai|venezuela,2025-06-10,Uruguai,Venezuela,CONMEBOL,16,0:2,6,Damian Suarez; Diego Hernandez; Jefferson Savarino; Mastriani; Mateo Ponte; Santi Rodriguez,,A COLETAR
2024-09-06|brasil|equador,2024-09-06,Brasil,Equador,CONMEBOL,7,0:1,5,Alex Telles; Igor Jesus; Luis Segovia; Luiz Henrique; Vitinho,,A COLETAR
2024-09-06|paraguai|uruguai,2024-09-06,Paraguai,Uruguai,CONMEBOL,7,0:0,5,Damian Suarez; Diego Hernandez; Gatito Fernandez; Mateo Ponte; Oscar Romero,,A COLETAR
2024-11-14|brasil|venezuela,2024-11-14,Brasil,Venezuela,CONMEBOL,11,1:1,5,Alex Telles; Igor Jesus; Jefferson Savarino; Luiz Henrique; Vitinho,,A COLETAR
2025-06-05|paraguai|uruguai,2025-06-05,Uruguai,Paraguai,CONMEBOL,15,0:2,5,Damian Suarez; Diego Hernandez; Mastriani; Mateo Ponte; Santi Rodriguez,,A COLETAR
2025-06-10|brasil|paraguai,2025-06-10,Brasil,Paraguai,CONMEBOL,16,0:1,5,Alex Telles; Danilo Santos; Igor Jesus; Luiz Henrique; Vitinho,,A COLETAR
2025-09-04|peru|uruguai,2025-09-04,Uruguai,Peru,CONMEBOL,17,3:0,5,Damian Suarez; Diego Hernandez; Mastriani; Mateo Ponte; Santi Rodriguez,,A COLETAR
2025-09-09|chile|uruguai,2025-09-09,Uruguai,Chile,CONMEBOL,18,0:0,5,Damian Suarez; Diego Hernandez; Mastriani; Mateo Ponte; Santi Rodriguez,,A COLETAR
2023-10-17|brasil|uruguai,2023-10-17,Brasil,Uruguai,CONMEBOL,4,2:0,4,Adryelson; Diego Hernandez; Lucas Perri; Mateo Ponte,,A COLETAR
2024-09-10|uruguai|venezuela,2024-09-10,Uruguai,Venezuela,CONMEBOL,8,0:0,4,Damian Suarez; Diego Hernandez; Jefferson Savarino; Mateo Ponte,,A COLETAR
2024-10-10|brasil|chile,2024-10-10,Brasil,Chile,CONMEBOL,9,1:2,4,Alex Telles; Igor Jesus; Luiz Henrique; Vitinho,,A COLETAR
2024-10-15|brasil|peru,2024-10-15,Brasil,Peru,CONMEBOL,10,0:4,4,Alex Telles; Igor Jesus; Luiz Henrique; Vitinho,,A COLETAR
