partida_id,selecao,confederacao,competicao,rodada,data,mando,adversario,resultado,fonte
2023-09-07|argentina|equador,Argentina,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,1,2023-09-07,casa,Equador,1:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-09-07|colombia|venezuela,Colombia,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,1,2023-09-07,casa,Venezuela,1:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-09-07|argentina|equador,Equador,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,1,2023-09-07,fora,Argentina,0:1,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-09-07|paraguai|peru,Paraguai,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,1,2023-09-07,casa,Peru,0:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-09-07|paraguai|peru,Peru,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,1,2023-09-07,fora,Paraguai,0:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-09-07|colombia|venezuela,Venezuela,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,1,2023-09-07,fora,Colombia,0:1,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-09-08|bolivia|brasil,Bolivia,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,1,2023-09-08,fora,Brasil,1:5,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-09-08|bolivia|brasil,Brasil,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,1,2023-09-08,casa,Bolivia,5:1,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-09-08|chile|uruguai,Chile,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,1,2023-09-08,fora,Uruguai,1:3,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-09-08|chile|uruguai,Uruguai,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,1,2023-09-08,casa,Chile,3:1,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-09-12|argentina|bolivia,Argentina,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,2,2023-09-12,fora,Bolivia,3:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-09-12|argentina|bolivia,Bolivia,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,2,2023-09-12,casa,Argentina,0:3,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-09-12|brasil|peru,Brasil,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,2,2023-09-12,fora,Peru,1:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-09-12|chile|colombia,Chile,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,2,2023-09-12,casa,Colombia,0:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-09-12|chile|colombia,Colombia,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,2,2023-09-12,fora,Chile,0:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-09-12|equador|uruguai,Equador,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,2,2023-09-12,casa,Uruguai,2:1,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-09-12|paraguai|venezuela,Paraguai,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,2,2023-09-12,fora,Venezuela,0:1,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-09-12|brasil|peru,Peru,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,2,2023-09-12,casa,Brasil,0:1,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-09-12|equador|uruguai,Uruguai,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,2,2023-09-12,fora,Equador,1:2,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-09-12|paraguai|venezuela,Venezuela,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,2,2023-09-12,casa,Paraguai,1:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-10-12|argentina|paraguai,Argentina,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,3,2023-10-12,casa,Paraguai,1:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-10-12|bolivia|equador,Bolivia,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,3,2023-10-12,casa,Equador,1:2,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-10-12|brasil|venezuela,Brasil,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,3,2023-10-12,casa,Venezuela,1:1,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-10-12|chile|peru,Chile,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,3,2023-10-12,casa,Peru,2:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-10-12|colombia|uruguai,Colombia,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,3,2023-10-12,casa,Uruguai,2:2,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-10-12|bolivia|equador,Equador,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,3,2023-10-12,fora,Bolivia,2:1,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-10-12|argentina|paraguai,Paraguai,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,3,2023-10-12,fora,Argentina,0:1,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-10-12|chile|peru,Peru,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,3,2023-10-12,fora,Chile,0:2,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-10-12|colombia|uruguai,Uruguai,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,3,2023-10-12,fora,Colombia,2:2,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-10-12|brasil|venezuela,Venezuela,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,3,2023-10-12,fora,Brasil,1:1,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-10-17|argentina|peru,Argentina,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,4,2023-10-17,fora,Peru,2:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-10-17|bolivia|paraguai,Bolivia,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,4,2023-10-17,fora,Paraguai,0:1,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-10-17|brasil|uruguai,Brasil,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,4,2023-10-17,fora,Uruguai,0:2,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-10-17|chile|venezuela,Chile,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,4,2023-10-17,fora,Venezuela,0:3,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-10-17|colombia|equador,Colombia,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,4,2023-10-17,fora,Equador,0:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-10-17|colombia|equador,Equador,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,4,2023-10-17,casa,Colombia,0:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-10-17|bolivia|paraguai,Paraguai,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,4,2023-10-17,casa,Bolivia,1:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-10-17|argentina|peru,Peru,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,4,2023-10-17,casa,Argentina,0:2,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-10-17|brasil|uruguai,Uruguai,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,4,2023-10-17,casa,Brasil,2:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-10-17|chile|venezuela,Venezuela,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,4,2023-10-17,casa,Chile,3:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-11-16|angola|cape verde,Angola,CAF,Eliminatórias da Copa do Mundo FIFA 2026,,2023-11-16,fora,Cape Verde,0:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-11-16|argentina|uruguai,Argentina,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,5,2023-11-16,casa,Uruguai,0:2,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-11-16|bolivia|peru,Bolivia,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,5,2023-11-16,casa,Peru,2:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-11-16|brasil|colombia,Brasil,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,5,2023-11-16,fora,Colombia,1:2,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-11-16|chile|paraguai,Chile,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,5,2023-11-16,casa,Paraguai,0:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-11-16|brasil|colombia,Colombia,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,5,2023-11-16,casa,Brasil,2:1,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-11-16|emirados arabes unidos|nepal,Emirados Arabes Unidos,AFC,Eliminatórias da Copa do Mundo FIFA 2026,,2023-11-16,casa,Nepal,4:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-11-16|equador|venezuela,Equador,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,5,2023-11-16,fora,Venezuela,0:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-11-16|japao|myanmar,Japao,AFC,Eliminatórias da Copa do Mundo FIFA 2026,,2023-11-16,casa,Myanmar,5:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-11-16|chile|paraguai,Paraguai,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,5,2023-11-16,fora,Chile,0:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-11-16|bolivia|peru,Peru,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,5,2023-11-16,fora,Bolivia,0:2,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-11-16|argentina|uruguai,Uruguai,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,5,2023-11-16,fora,Argentina,2:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-11-16|equador|venezuela,Venezuela,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,5,2023-11-16,casa,Equador,0:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-11-21|angola|mauritius,Angola,CAF,Eliminatórias da Copa do Mundo FIFA 2026,,2023-11-21,fora,Mauritius,0:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-11-21|argentina|brasil,Argentina,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,6,2023-11-21,fora,Brasil,1:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-11-21|bolivia|uruguai,Bolivia,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,6,2023-11-21,fora,Uruguai,0:3,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-11-21|argentina|brasil,Brasil,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,6,2023-11-21,casa,Argentina,0:1,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-11-21|chile|equador,Chile,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,6,2023-11-21,fora,Equador,0:1,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-11-21|colombia|paraguai,Colombia,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,6,2023-11-21,fora,Paraguai,1:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-11-21|bahrain|emirados arabes unidos,Emirados Arabes Unidos,AFC,Eliminatórias da Copa do Mundo FIFA 2026,,2023-11-21,fora,Bahrain,2:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-11-21|chile|equador,Equador,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,6,2023-11-21,casa,Chile,1:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-11-21|japao|syria,Japao,AFC,Eliminatórias da Copa do Mundo FIFA 2026,,2023-11-21,fora,Syria,5:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-11-21|marrocos|tanzania,Marrocos,CAF,Eliminatórias da Copa do Mundo FIFA 2026,,2023-11-21,fora,Tanzania,2:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-11-21|colombia|paraguai,Paraguai,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,6,2023-11-21,casa,Colombia,0:1,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-11-21|peru|venezuela,Peru,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,6,2023-11-21,casa,Venezuela,1:1,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-11-21|bolivia|uruguai,Uruguai,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,6,2023-11-21,casa,Bolivia,3:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2023-11-21|peru|venezuela,Venezuela,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,6,2023-11-21,fora,Peru,1:1,martj42/international_results (results.csv) — nivel CONFERENCIA
2024-03-21|emirados arabes unidos|yemen,Emirados Arabes Unidos,AFC,Eliminatórias da Copa do Mundo FIFA 2026,,2024-03-21,casa,Yemen,2:1,martj42/international_results (results.csv) — nivel CONFERENCIA
2024-03-21|japao|north korea,Japao,AFC,Eliminatórias da Copa do Mundo FIFA 2026,,2024-03-21,casa,North Korea,1:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2024-03-26|emirados arabes unidos|yemen,Emirados Arabes Unidos,AFC,Eliminatórias da Copa do Mundo FIFA 2026,,2024-03-26,fora,Yemen,3:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2024-06-05|montserrat|nicaragua,Nicaragua,CONCACAF,Eliminatórias da Copa do Mundo FIFA 2026,,2024-06-05,casa,Montserrat,4:1,martj42/international_results (results.csv) — nivel CONFERENCIA
2024-06-05|grenada|trinidad e tobago,Trinidad e Tobago,CONCACAF,Eliminatórias da Copa do Mundo FIFA 2026,,2024-06-05,casa,Grenada,2:2,martj42/international_results (results.csv) — nivel CONFERENCIA
2024-06-06|emirados arabes unidos|nepal,Emirados Arabes Unidos,AFC,Eliminatórias da Copa do Mundo FIFA 2026,,2024-06-06,fora,Nepal,4:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2024-06-06|japao|myanmar,Japao,AFC,Eliminatórias da Copa do Mundo FIFA 2026,,2024-06-06,fora,Myanmar,5:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2024-06-06|guyana|panama,Panama,CONCACAF,Eliminatórias da Copa do Mundo FIFA 2026,,2024-06-06,casa,Guyana,2:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2024-06-07|angola|eswatini,Angola,CAF,Eliminatórias da Copa do Mundo FIFA 2026,,2024-06-07,casa,Eswatini,1:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2024-06-07|marrocos|zambia,Marrocos,CAF,Eliminatórias da Copa do Mundo FIFA 2026,,2024-06-07,casa,Zambia,2:1,martj42/international_results (results.csv) — nivel CONFERENCIA
2024-06-08|belize|nicaragua,Nicaragua,CONCACAF,Eliminatórias da Copa do Mundo FIFA 2026,,2024-06-08,fora,Belize,4:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2024-06-08|bahamas|trinidad e tobago,Trinidad e Tobago,CONCACAF,Eliminatórias da Copa do Mundo FIFA 2026,,2024-06-08,fora,Bahamas,7:1,martj42/international_results (results.csv) — nivel CONFERENCIA
2024-06-09|montserrat|panama,Panama,CONCACAF,Eliminatórias da Copa do Mundo FIFA 2026,,2024-06-09,fora,Montserrat,3:1,martj42/international_results (results.csv) — nivel CONFERENCIA
2024-06-11|angola|cameroon,Angola,CAF,Eliminatórias da Copa do Mundo FIFA 2026,,2024-06-11,casa,Cameroon,1:1,martj42/international_results (results.csv) — nivel CONFERENCIA
2024-06-11|bahrain|emirados arabes unidos,Emirados Arabes Unidos,AFC,Eliminatórias da Copa do Mundo FIFA 2026,,2024-06-11,casa,Bahrain,1:1,martj42/international_results (results.csv) — nivel CONFERENCIA
2024-06-11|japao|syria,Japao,AFC,Eliminatórias da Copa do Mundo FIFA 2026,,2024-06-11,casa,Syria,5:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2024-06-11|congo|marrocos,Marrocos,CAF,Eliminatórias da Copa do Mundo FIFA 2026,,2024-06-11,casa,Congo,6:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2024-09-05|argentina|chile,Argentina,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,7,2024-09-05,casa,Chile,3:0,martj42/international_results (results.csv) — nivel CONFERENCIA
2024-09-05|bolivia|venezuela,Bolivia,CONMEBOL,Eliminatórias da Copa do Mundo FIFA 2026,7,2024-09-05,casa,Venezuela,4:0,martj42/international_results (results.csv) — nivel CONFERENCIA
