partida_id,selecao,data,adversario,atleta,nascimento,status_na_sumula,posicao,minutos,clube_detentor,elegivel,origem_do_status,janela_estimada,observacao
2023-09-07|argentina|equador,Argentina,2023-09-07,Equador,Thiago Almada,1997-04-26,,,,,NAO ELEGIVEL - fora da janela de registro,,S,mantido para descarte documentado
2023-09-07|argentina|equador,Argentina,2023-09-07,Equador,Alexander Barboza,1995-05-16,,,,,NAO ELEGIVEL - fora da janela de registro,,S,mantido para descarte documentado
2023-09-07|argentina|equador,Argentina,2023-09-07,Equador,Joaquin Correa,1994-08-13,,,,,NAO ELEGIVEL - fora da janela de registro,,S,mantido para descarte documentado
2023-09-07|argentina|equador,Argentina,2023-09-07,Equador,Alvaro Montoro,2007-04-17,,,,,NAO ELEGIVEL - fora da janela de registro,,S,mantido para descarte documentado
2023-09-07|colombia|venezuela,Colombia,2023-09-07,Venezuela,Jordan Barrera,2006-04-11,,,,,NAO ELEGIVEL - fora da janela de registro,,S,mantido para descarte documentado
2023-09-07|argentina|equador,Equador,2023-09-07,Argentina,Cristhian Loor,2006-03-09,,,,,NAO ELEGIVEL - fora da janela de registro,,S,mantido para descarte documentado
2023-09-07|argentina|equador,Equador,2023-09-07,Argentina,Luis Segovia,1997-10-26,,,,,PENDENTE - falta confirmar relação na súmula,,S,janela ESTIMADA (imprensa) — confirmar no TMS
2023-09-07|paraguai|peru,Paraguai,2023-09-07,Peru,Gatito Fernandez,1988-03-29,,,,,PENDENTE - falta confirmar relação na súmula,,S,janela ESTIMADA (imprensa) — confirmar no TMS
2023-09-07|paraguai|peru,Paraguai,2023-09-07,Peru,Oscar Romero,1997-07-04,,,,,NAO ELEGIVEL - fora da janela de registro,,S,mantido para descarte documentado
2023-09-07|colombia|venezuela,Venezuela,2023-09-07,Colombia,Jefferson Savarino,1996-11-11,,,,,NAO ELEGIVEL - fora da janela de registro,,S,mantido para descarte documentado
2023-09-07|colombia|venezuela,Venezuela,2023-09-07,Colombia,Nahuel Ferraresi,1998-11-19,,,,,NAO ELEGIVEL - fora da janela de registro,,N,mantido para descarte documentado
2023-09-08|bolivia|brasil,Bolivia,2023-09-08,Brasil,Sebastian Joffre,,,,,,CONFERIR - atleta sem janela de registro,,N,vínculo/janela não confirmados no TMS
2023-09-08|bolivia|brasil,Brasil,2023-09-08,Bolivia,Vitinho,1999-07-23,,,,,NAO ELEGIVEL - fora da janela de registro,,S,mantido para descarte documentado
2023-09-08|bolivia|brasil,Brasil,2023-09-08,Bolivia,Lucas Perri,1997-12-13,,,,,PENDENTE - falta confirmar relação na súmula,,S,janela ESTIMADA (imprensa) — confirmar no TMS
2023-09-08|bolivia|brasil,Brasil,2023-09-08,Bolivia,Adryelson,1997-12-16,,,,,PENDENTE - falta confirmar relação na súmula,,S,janela ESTIMADA (imprensa) — confirmar no TMS
2023-09-08|bolivia|brasil,Brasil,2023-09-08,Bolivia,Luiz Henrique,2001-01-02,,,,,NAO ELEGIVEL - fora da janela de registro,,S,mantido para descarte documentado
2023-09-08|bolivia|brasil,Brasil,2023-09-08,Bolivia,Igor Jesus,2001-01-01,,,,,NAO ELEGIVEL - fora da janela de registro,,S,mantido para descarte documentado
2023-09-08|bolivia|brasil,Brasil,2023-09-08,Bolivia,Alex Telles,1992-12-15,,,,,NAO ELEGIVEL - fora da janela de registro,,S,mantido para descarte documentado
2023-09-08|bolivia|brasil,Brasil,2023-09-08,Bolivia,Danilo Santos,2001-04-29,,,,,NAO ELEGIVEL - fora da janela de registro,,S,mantido para descarte documentado
2023-09-08|chile|uruguai,Uruguai,2023-09-08,Chile,Santi Rodriguez,2000-01-08,,,,,NAO ELEGIVEL - fora da janela de registro,,S,mantido para descarte documentado
2023-09-08|chile|uruguai,Uruguai,2023-09-08,Chile,Mateo Ponte,2003-05-24,,,,,PENDENTE - falta confirmar relação na súmula,,S,janela ESTIMADA (imprensa) — confirmar no TMS
2023-09-08|chile|uruguai,Uruguai,2023-09-08,Chile,Diego Hernandez,2000-06-22,,,,,PENDENTE - falta confirmar relação na súmula,,S,janela ESTIMADA (imprensa) — confirmar no TMS
2023-09-08|chile|uruguai,Uruguai,2023-09-08,Chile,Damian Suarez,1988-04-27,,,,,NAO ELEGIVEL - fora da janela de registro,,S,mantido para descarte documentado
2023-09-08|chile|uruguai,Uruguai,2023-09-08,Chile,Mastriani,1993-04-28,,,,,NAO ELEGIVEL - fora da janela de registro,,S,mantido para descarte documentado
2023-09-12|argentina|bolivia,Argentina,2023-09-12,Bolivia,Thiago Almada,1997-04-26,,,,,NAO ELEGIVEL - fora da janela de registro,,S,mantido para descarte documentado
